q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,theta_5,alpha_5,a_5,d_6,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
74.380,29.451,-145.389,-132.266,87.499,-138.064,a_6,-0.584,-0.318,-0.686,-0.772,1.275,0.248,0.791,-0.185,0.266,-0.698,0.217,0.612,0.901,-1.606,-0.338,0.802,-3.038,-0.865,0.109,2.434,5.137,-1.793,0.395,0.000,-0.000
-115.077,-15.254,-114.687,-47.753,-90.897,-169.786,a_6,-0.579,-0.489,-1.555,-1.751,0.294,0.213,0.150,-0.061,0.249,2.789,0.565,-0.325,0.418,3.106,-0.794,-1.683,0.033,-0.116,0.311,3.235,-8.542,1.940,0.327,-0.000,-0.000
76.625,-66.911,134.377,116.098,-84.273,137.673,a_6,-0.563,0.030,0.950,1.071,-1.015,1.094,-0.833,-0.466,-0.051,0.304,0.918,0.095,1.005,-2.039,-7.832,0.489,-2.966,5.869,0.037,4.321,3.007,-3.658,0.515,0.000,-0.000
-63.522,34.958,86.703,-122.161,-83.394,-31.554,a_6,-0.551,-0.038,1.611,1.815,2.189,-1.720,1.287,-0.292,1.219,0.699,0.910,2.518,0.706,-2.757,-5.229,-0.257,-5.309,3.237,0.426,1.222,3.324,5.271,1.014,0.000,-0.000
71.957,41.125,133.495,174.082,-94.685,21.081,a_6,-0.549,-0.289,-1.467,-1.653,-2.416,-1.451,-1.557,-0.186,0.979,-0.798,0.775,1.972,0.155,1.430,-3.035,0.188,3.554,-2.235,0.339,1.919,-1.024,-2.274,0.840,-0.000,-0.000
-72.477,-32.713,108.275,-78.052,-131.196,129.404,a_6,-0.549,-0.002,-0.936,-1.055,1.243,-1.378,0.450,-0.401,1.403,1.428,0.549,2.131,0.845,-1.245,-6.015,-0.833,-2.902,-1.948,0.340,3.097,-1.345,6.769,0.481,0.000,-0.000
-37.664,39.698,-116.975,78.056,69.405,-145.527,a_6,-0.548,0.072,1.115,1.256,-1.239,-1.426,-0.741,-0.401,1.404,-0.343,0.167,-0.673,1.439,-0.226,-0.879,-0.605,-4.943,2.613,-0.090,0.429,-0.910,4.310,0.267,0.000,-0.000
66.833,6.991,156.747,-148.954,58.450,140.511,a_6,-0.543,-0.233,-1.586,-1.786,0.390,-0.937,0.042,-0.204,0.983,1.158,0.664,-0.140,0.206,-1.850,-5.243,0.060,1.221,0.286,0.265,1.753,-0.515,-2.389,0.778,-0.000,-0.000
-83.997,-29.628,113.576,-74.108,121.424,-120.962,a_6,-0.543,-0.169,1.237,1.393,-1.033,-1.560,-0.557,-0.372,1.430,0.428,0.766,-0.503,1.110,-2.699,-8.415,-0.603,-1.491,-1.480,0.171,3.418,-1.716,6.579,0.979,0.000,-0.000
-58.056,8.863,-118.581,-119.140,143.579,124.125,a_6,-0.542,-0.526,0.622,0.701,-1.166,0.812,-0.958,-0.062,-0.068,0.457,0.572,0.403,1.119,0.599,0.535,-1.070,-0.813,0.829,0.235,1.268,-5.006,3.137,0.039,0.000,-0.000
129.487,-2.295,159.822,179.902,-129.983,179.882,a_6,-0.534,-0.481,0.738,0.831,-2.295,-0.772,-1.407,-0.071,0.855,0.694,1.170,0.300,0.504,-1.100,-9.953,0.116,0.123,0.408,0.344,3.379,0.417,-1.084,1.579,0.000,-0.000
106.132,-13.143,-128.958,-37.888,-84.645,155.628,a_6,-0.530,-0.384,1.418,1.598,-0.681,0.133,-0.564,-0.123,0.405,-1.523,0.693,-0.633,0.438,-2.755,-2.292,1.129,-1.451,0.940,0.439,4.325,4.797,-1.396,0.607,0.000,-0.000
110.926,-57.857,128.554,-177.379,-109.006,153.285,a_6,-0.528,-0.111,0.881,0.992,-1.460,0.708,-1.060,-0.369,0.192,-0.078,1.218,0.411,1.350,-0.775,-6.481,0.414,-2.125,4.424,-0.241,6.808,2.527,-2.972,1.026,0.000,-0.000
-84.801,-59.601,120.797,-61.303,-136.490,120.175,a_6,-0.526,-0.233,-1.148,-1.294,0.965,-1.314,0.287,-0.353,1.292,2.337,0.356,1.698,0.841,-0.043,-6.111,-1.104,-1.906,-4.199,0.259,4.036,-3.191,6.194,0.340,-0.000,-0.000
